년도,월,도로,방향,지표,값
2023,4,조치원로,상행,평균통행속도,36.042
2023,4,조치원로,하행,점유율,7.651113
2023,4,조치원로,하행,총합,42661.75
2023,4,조치원로,하행,평균통행속도,32.6071
2023,4,지방도604호선,상행,점유율,2.403714
2023,4,지방도604호선,상행,총합,127277.0
2023,4,지방도604호선,상행,평균통행속도,80.1684
2023,4,지방도604호선,하행,점유율,2.208338
2023,4,지방도604호선,하행,총합,116399.6666667
2023,4,지방도604호선,하행,평균통행속도,87.7766
2023,4,지방도96호선,상행,점유율,3.520181
2023,4,지방도96호선,상행,총합,79877.1111111
2023,4,지방도96호선,상행,평균통행속도,62.0237
2023,4,지방도96호선,하행,점유율,3.053846
2023,4,지방도96호선,하행,총합,79046.5555556
2023,4,지방도96호선,하행,평균통행속도,62.8699
2023,4,청연로,상행,점유율,3.109565
2023,4,청연로,상행,총합,56028.0
2023,4,청연로,상행,평균통행속도,49.8457
2023,4,청연로,하행,점유율,4.16822
2023,4,청연로,하행,총합,31196.5
2023,4,청연로,하행,평균통행속도,44.7886
2023,4,충현로,상행,점유율,4.87875
2023,4,충현로,상행,총합,43517.0
2023,4,충현로,상행,평균통행속도,35.4125
2023,4,충현로,하행,점유율,4.556597
2023,4,충현로,하행,총합,122785.0
2023,4,충현로,하행,평균통행속도,36.8153
2023,4,평기길,상행,점유율,2.424133
2023,4,평기길,상행,총합,6932.0
2023,4,평기길,상행,평균통행속도,46.6754
2023,4,평기길,하행,점유율,2.546186
2023,4,평기길,하행,총합,14126.0
2023,4,평기길,하행,평균통행속도,54.1502
2023,4,한누리대로,상행,점유율,4.45575
2023,4,한누리대로,상행,총합,111064.125
2023,4,한누리대로,상행,평균통행속도,50.2132
2023,4,한누리대로,하행,점유율,4.910093
2023,4,한누리대로,하행,총합,128588.9
2023,4,한누리대로,하행,평균통행속도,49.3868
2023,4,행복대로,상행,점유율,2.14979
2023,4,행복대로,상행,총합,91738.0
2023,4,행복대로,상행,평균통행속도,79.2871
2023,4,행복대로,하행,점유율,3.017755
2023,4,행복대로,하행,총합,982.6666667
2023,4,행복대로,하행,평균통행속도,81.0026
2023,5,갈매로,상행,점유율,1.679936
2023,5,갈매로,상행,총합,69601.0
2023,5,갈매로,상행,평균통행속도,51.5705
2023,5,갈매로,하행,점유율,2.447466
2023,5,갈매로,하행,총합,98206.0
2023,5,갈매로,하행,평균통행속도,43.8747
2023,5,구즉세종로,상행,점유율,4.994703
2023,5,구즉세종로,상행,총합,85608.0
2023,5,구즉세종로,상행,평균통행속도,72.9076
2023,5,구즉세종로,하행,점유율,6.224727
2023,5,구즉세종로,하행,총합,17394.0
2023,5,구즉세종로,하행,평균통행속도,67.4219
2023,5,당산로,상행,점유율,3.774822
2023,5,당산로,상행,총합,78823.0
2023,5,당산로,상행,평균통행속도,47.0753
2023,5,당산로,하행,점유율,3.309849
2023,5,당산로,하행,총합,41789.5
2023,5,당산로,하행,평균통행속도,47.2881
2023,5,산학리길,상행,점유율,2.316809
2023,5,산학리길,상행,총합,20863.0
2023,5,산학리길,상행,평균통행속도,53.4031
2023,5,산학리길,하행,점유율,2.34059
2023,5,산학리길,하행,총합,33329.0
2023,5,산학리길,하행,평균통행속도,55.954
2023,5,새내로,상행,점유율,7.799359
2023,5,새내로,상행,총합,75951.25
2023,5,새내로,상행,평균통행속도,32.3601
2023,5,새내로,하행,점유율,5.554012
2023,5,새내로,하행,총합,31783.5
2023,5,새내로,하행,평균통행속도,37.9329
2023,5,세종청주로,상행,점유율,3.121338
2023,5,세종청주로,상행,총합,61232.5
2023,5,세종청주로,상행,평균통행속도,90.9044
2023,5,세종청주로,하행,점유율,4.000367
2023,5,세종청주로,하행,총합,83700.0
2023,5,세종청주로,하행,평균통행속도,80.3381
2023,5,시목부강로,상행,점유율,3.211976
2023,5,시목부강로,상행,총합,20176.5
2023,5,시목부강로,상행,평균통행속도,50.1438
2023,5,시목부강로,하행,점유율,2.939044
2023,5,시목부강로,하행,총합,47635.0
2023,5,시목부강로,하행,평균통행속도,47.7887
2023,5,시청대로,상행,점유율,4.263007
2023,5,시청대로,상행,총합,55635.5
2023,5,시청대로,상행,평균통행속도,27.0959
2023,5,시청대로,하행,점유율,3.614851
2023,5,시청대로,하행,총합,46518.0
2023,5,시청대로,하행,평균통행속도,33.1916
2023,5,연청로,상행,점유율,1.728987
2023,5,연청로,상행,총합,66278.3333333
2023,5,연청로,상행,평균통행속도,82.1636
2023,5,연청로,하행,점유율,2.471916
2023,5,연청로,하행,총합,60930.0
2023,5,연청로,하행,평균통행속도,78.2219
2023,5,용연로,상행,점유율,1.92556
2023,5,용연로,상행,총합,8842.0
2023,5,용연로,상행,평균통행속도,55.425
2023,5,용연로,하행,점유율,2.802149
2023,5,용연로,하행,총합,20575.0
2023,5,용연로,하행,평균통행속도,52.2436
2023,5,일반국도1호선,상행,점유율,4.474222
2023,5,일반국도1호선,상행,총합,260809.0
2023,5,일반국도1호선,상행,평균통행속도,76.2994
2023,5,일반국도1호선,하행,점유율,4.038743
2023,5,일반국도1호선,하행,총합,270728.75
2023,5,일반국도1호선,하행,평균통행속도,78.9613
2023,5,일반국도36호선,상행,점유율,4.506109
2023,5,일반국도36호선,상행,총합,68968.6666667
2023,5,일반국도36호선,상행,평균통행속도,51.1615
2023,5,일반국도36호선,하행,점유율,7.883439
2023,5,일반국도36호선,하행,총합,184497.6666667
2023,5,일반국도36호선,하행,평균통행속도,46.0695
2023,5,절재로,하행,점유율,4.099651
2023,5,절재로,하행,총합,163760.5
2023,5,절재로,하행,평균통행속도,63.7016
2023,5,정안세종로,상행,점유율,2.224087
2023,5,정안세종로,상행,총합,167128.3333333
2023,5,정안세종로,상행,평균통행속도,58.3647
2023,5,정안세종로,하행,점유율,2.5903
2023,5,정안세종로,하행,총합,159647.0
2023,5,정안세종로,하행,평균통행속도,113.9722
2023,5,조치원로,상행,점유율,7.022468
2023,5,조치원로,상행,총합,86608.0
2023,5,조치원로,상행,평균통행속도,35.0922
2023,5,조치원로,하행,점유율,7.847906
2023,5,조치원로,하행,총합,41337.5
2023,5,조치원로,하행,평균통행속도,32.4929
2023,5,지방도604호선,상행,점유율,2.440911
2023,5,지방도604호선,상행,총합,132303.0
2023,5,지방도604호선,상행,평균통행속도,79.2706
2023,5,지방도604호선,하행,점유율,2.328233
2023,5,지방도604호선,하행,총합,109840.6666667
2023,5,지방도604호선,하행,평균통행속도,87.6315
2023,5,지방도96호선,상행,점유율,3.594537
2023,5,지방도96호선,상행,총합,87480.5555556
2023,5,지방도96호선,상행,평균통행속도,64.535
2023,5,지방도96호선,하행,점유율,3.118528
2023,5,지방도96호선,하행,총합,81697.5555556
2023,5,지방도96호선,하행,평균통행속도,62.5285
2023,5,청연로,상행,점유율,2.949269
2023,5,청연로,상행,총합,52447.0
2023,5,청연로,상행,평균통행속도,48.7923
